tool		CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M	CPAchecker 2.3.1-svn-45350M
run set		k1-princess_binary	k1-princess_binary	k1-princess_binary	k1-princess_binary	k1-princess_binary	k1-princess_binary	k1-princess_binary	k1-princess_binary	k1-princess_binary	k10-princess_binary	k10-princess_binary	k10-princess_binary	k10-princess_binary	k10-princess_binary	k10-princess_binary	k10-princess_binary	k10-princess_binary	k10-princess_binary	k1-princess	k1-princess	k1-princess	k1-princess	k1-princess	k1-princess	k1-princess	k1-princess	k1-princess	k10-princess	k10-princess	k10-princess	k10-princess	k10-princess	k10-princess	k10-princess	k10-princess	k10-princess
../programs/benchmarks/		status	cputime (s)	walltime (s)	memory (MB)	assertions check time (s)	host	reached	sat check time (s)	targets	status	cputime (s)	walltime (s)	memory (MB)	assertions check time (s)	host	reached	sat check time (s)	targets	status	cputime (s)	walltime (s)	memory (MB)	assertions check time (s)	host	reached	sat check time (s)	targets	status	cputime (s)	walltime (s)	memory (MB)	assertions check time (s)	host	reached	sat check time (s)	targets
array-examples/data_structures_set_multi_proc_ground-1.yml	false	ERROR	5.647118874	3.021322852000594	180.850688		aplit	14		0	ERROR	5.454324971	2.869120944989845	183.668736		aplit	14		0	ERROR	5.375180998	2.8538892430078704	184.668160		kieselgur	14		0	ERROR	5.136934297	2.7383209289982915	183.267328		granulit	14		0
array-examples/data_structures_set_multi_proc_ground-2.yml	true	ERROR	5.026811752	2.6191101990116294	186.003456		lydit	14		0	ERROR	5.300018625	2.8228962070134003	183.455744		lydit	14		0	ERROR	5.124466331	2.6776392890024	182.337536		flint	14		0	ERROR	5.462002832	2.8809028819960076	185.929728		halitit	14		0
array-examples/data_structures_set_multi_proc_trivial_ground.yml	true	ERROR	5.350286075	2.821270362008363	186.060800		charnockit	14		0	ERROR	5.364764953	2.8327299559896346	180.645888		cipollino	14		0	ERROR	5.356120614	2.8207698639889713	190.021632		chert	14		0	ERROR	5.132168417	2.7142427719954867	184.061952		hawaiit	14		0
array-examples/relax-2-2.yml	true	EXCEPTION	6.189245107	3.2160679310036357	189.149184		chert				EXCEPTION	6.119772809	3.186334202007856	193.912832		jacupirangit				EXCEPTION	6.414828577	3.342450207012007	187.752448		cipollino				EXCEPTION	6.525639416	3.4231949360109866	190.369792		essexit			
array-examples/sanfoundry_02_ground.yml	true	ERROR	5.076236434	2.709615269995993	179.167232		bauxit	11		0	ERROR	4.935409125	2.621194171020761	181.936128		lydit	11		0	ERROR	5.215807919	2.7446426279784646	180.006912		cipollino	11		0	ERROR	5.211844737	2.753088490018854	183.504896		enderbit	11		0
array-examples/sanfoundry_10_ground.yml	true	EXCEPTION	5.192769091	2.726902363996487	180.424704		kieselgur				EXCEPTION	5.240547577	2.7715557260089554	184.524800		flint				EXCEPTION	6.426523305	3.4508272079983726	185.659392		ehrwaldit				EXCEPTION	5.197158447	2.748424815974431	181.010432		charnockit			
array-examples/sanfoundry_24-1.yml	true	ERROR	4.864236513	2.618156499986071	179.441664		harzburgit	13		0	ERROR	5.159915	2.7757502360036597	181.243904		charnockit	13		0	ERROR	5.143541983	2.698897752998164	183.111680		kaolin	13		0	ERROR	5.36193774	2.8603593969892245	179.965952		lydit	13		0
array-examples/sanfoundry_27_ground.yml	true	ERROR	5.003197324	2.6572477310255636	185.348096		biolithe	11		0	ERROR	5.274992776	2.7826988649903797	178.044928		flint	11		0	ERROR	5.09140241	2.7125035659992136	194.756608		halitit	11		0	ERROR	5.5470281	2.988062391988933	178.192384		harzburgit	11		0
